Disease,Symptoms,Specialty
Jaundice,"Yellowish coloration of skin and sclera, itchiness","Gastroenterology, hepatology, general surgery"
Hyperthyroidism,"Irritability, muscle weakness, sleeping problems, fast heartbeat, heat intolerance, diarrhea, enlargement of the thyroid, weight loss",Endocrinology
Tuberculosis,"Chronic cough, fever, cough with bloody mucus, weight loss","Infectious disease, pulmonology"
Heart Attack,"Chest pain, shortness of breath, nausea/vomiting, dizziness or lightheadedness, cold sweat, feeling tired; arm, neck, back, jaw, or stomach pain, decreased level or total loss of consciousness","Cardiology, emergency medicine"
Dengue,"Fever, headache, muscle and joint pain, rash. Can be severe, mild or asymptomatic",Infectious disease
Urinary Tract Infection,"Pain with urination, frequent urination, feeling the need to urinate despite having an empty bladder","Infectious disease, Urology"
Impetigo,"Yellowish skin crusts, painful","Dermatology, infectious disease"
Malaria,"Fever, vomiting, headache, yellow skin",Infectious disease
Gastroenteritis,"Diarrhea, vomiting, abdominal pain, fever","Infectious disease, gastroenterology"
Hepatitis E,"Nausea, jaundice","Infectious disease, Hepatology"
Hepatitis D,"Feeling tired, nausea and vomiting","Gastroenterology, infectious disease"
Allergy,"Red eyes, itchy rash, vomiting, runny nose, shortness of breath, swelling, sneezing, and cough",Immunology
Psoriasis,"Red (purple on darker skin), itchy, scaly patches of skin","Dermatology (primarily);
immunology, rheumatology and other specialties (e.g., cardiology and vascular medicine, nephrology, hepatology/gastroenterology, endocrinology, haematology) (indirectly/by association)"
Asbestosis,"Shortness of breath, cough, wheezing, chest pain",Pulmonology
Diabetes ,"Frequent urination
Increased thirst
Increased hunger",Endocrinology
Gastroesophageal Reflux Disease,"Taste of acid, heartburn, bad breath, chest pain, breathing problems",Gastroenterology
Hypothyroidism,"extreme fatigue, Poor ability to tolerate cold, feeling tired, muscle aches, constipation, weight gain, depression, anxiety, irritability",Endocrinology
Hypoglycemia,"Headache, blurred vision, shakiness, dizziness, weakness, tiredness, sweating, clamminess, fast heart rate, pounding heartbeat, nervousness or anxiety, hunger, nausea, pins and needles sensation, difficulty talking, confusion, unusual behavior, lightheadedness, pale skin color, seizures",Endocrinology
Typhoid,"Fever that starts low and increases daily, possibly reaching as high as 104.9 °F (40.5 °C) Headache, weakness and fatigue, muscle aches, sweating, dry cough, loss of appetite, weight loss, stomach pain, diarrhea or constipation, rash, swollen stomach (enlarged liver or spleen)",Infectious diseases
Diabetes,"Frequent urination
Increased thirst
Increased hunger",Endocrinology
Arthritis,"Joint pain, stiffness, redness, swelling, decreased range of motion",Rheumatology
Pneumonia,"Cough, shortness of breath, chest pain, fever","Pulmonology, infectious disease"
Pelvic Inflammatory Disease,"Lower abdominal pain, vaginal discharge, fever, burning with urination, pain with sex, irregular menstruation",Gynecology
Delirium,"Agitation, confusion, drowsiness, hallucinations, delusions, memory problems","Intensive care medicine, Neurology, Psychiatry, Geriatrics"
Bronchial Asthma,"Recurring episodes of wheezing, coughing, chest tightness, shortness of breath",Pulmonology
Migraine,"Headaches, nausea, sensitivity to light, sound, and smell",Neurology
Hypertension ,None,"Cardiology, Nephrology"
Hepatitis B,"None, yellowish skin, tiredness, dark urine, abdominal pain","Infectious disease, gastroenterology"
Common Cold,"Cough, sore throat, runny nose, fever",Infectious disease
Chicken Pox,"Small, itchy blisters, headache, loss of appetite, tiredness, fever",Infectious disease
Thoracic Outlet Syndrome,"Pain, weakness, loss of muscle at the base of the thumb, swelling, paleness, bluish coloration","Vascular surgery, thoracic surgery"
Broken Nose,"Nose bleed, swelling, bruising","Emergency medicine, otorhinolaryngology"
Pulmonary Hypertension,"Chest pain, fatigue","Pulmonology, cardiology"
Pancreatitis,Pain in the upper abdomennauseavomitingfeverfatty stool,Gastroenterologygeneral surgery
Conjoined Twins,Bodies fused,Medical genetics
Dandruff,Itchy and flaking skin of the scalp,Dermatology
Barretts Esophagus,Nausea,"Gastroenterology
General surgery"
